"471","AB661578","2004-07-28 00:00:00","12334.82"
"299","AD304085","2003-10-24 00:00:00","45078.76"
"172","AD832091","2004-09-09 00:00:00","2173.6"
"186","AE192287","2005-03-10 00:00:00","26422.82"
"124","AE215433","2005-02-18 00:00:00","51826.36"
"344","AF246722","2003-11-24 00:00:00","34311.35"
"242","AF40894","2003-11-22 00:00:00","38098.24"
"357","AG240323","2003-12-16 00:00:00","23294.8"
"487","AH612904","2003-09-28 00:00:00","34100.03"
"398","AJ478695","2005-02-14 00:00:00","38191.39"
"298","AJ574927","2004-03-13 00:00:00","50432.55"
"186","AK412714","2003-10-27 00:00:00","42083.5"
"323","AL493079","2005-05-23 00:00:00","39267.74"
"187","AM968797","2004-11-03 00:00:00","57827.61"
"447","AO757239","2003-09-15 00:00:00","7600.12"
"339","AP286625","2004-10-24 00:00:00","27445.31"
"124","AQ50522","2005-06-03 00:00:00","32194.79"
"141","AU364101","2003-07-19 00:00:00","39615.82"
"177","AU750837","2004-04-17 00:00:00","17114.43"
"381","BC726082","2004-12-03 00:00:00","13463.48"
"151","BF686658","2003-12-22 00:00:00","64316.09"
"124","BG255406","2004-08-28 00:00:00","93928.73"
"216","BG407567","2003-05-09 00:00:00","4219.2"
"495","BH167026","2003-12-26 00:00:00","63730.78"
"148","BI507030","2003-04-22 00:00:00","43657.47"
"278","BJ483870","2004-12-05 00:00:00","41696.69"
"211","BJ535230","2003-12-09 00:00:00","48784.36"
"486","BL66528","2004-04-14 00:00:00","7287.24"
"219","BN17870","2005-03-02 00:00:00","3987.2"
"385","BN347084","2003-12-02 00:00:00","22841.96"
"189","BO711618","2004-10-03 00:00:00","18971.96"
"112","BO864823","2004-12-17 00:00:00","14449.61"
"166","BQ327613","2004-09-16 00:00:00","42902.84"
"187","BQ39062","2004-12-08 00:00:00","48962.28"
"350","BQ602907","2004-12-11 00:00:00","20136.86"
"161","BR352384","2004-11-14 00:00:00","2916.2"
"161","BR478494","2003-11-18 00:00:00","62305.47"
"219","BR941480","2003-10-18 00:00:00","5142.15"
"379","CA762595","2005-02-12 00:00:00","31474.78"
"381","CC475233","2003-04-19 00:00:00","1711.26"
"382","CC871084","2003-05-12 00:00:00","38629.14"
"172","CE51751","2004-12-04 00:00:00","56812.67"
"177","CI381435","2004-01-19 00:00:00","50490.64"
"350","CI471510","2003-05-25 00:00:00","52481.84"
"131","CL442705","2003-03-12 00:00:00","25783.76"
"181","CM564612","2004-04-25 00:00:00","24804.34"
"145","CN328545","2004-07-03 00:00:00","4749.45"
"353","CO351193","2005-01-10 00:00:00","48895.59"
"471","CO645196","2003-12-10 00:00:00","37878.55"
"385","CP804873","2004-11-19 00:00:00","15928.75"
"124","CQ287967","2003-04-11 00:00:00","12398.56"
"334","CS435306","2005-01-27 00:00:00","51373.49"
"382","CT821147","2004-08-01 00:00:00","6693.28"
"339","DA98827","2003-11-28 00:00:00","40061.66"
"141","DB583216","2004-11-01 00:00:00","34872.13"
"121","DB889831","2003-02-16 00:00:00","54702"
"119","DB933704","2004-11-14 00:00:00","20719.91"
"166","DC979307","2004-07-07 00:00:00","45788.72"
"148","DD635282","2004-08-11 00:00:00","3127.88"
"458","DD995006","2004-11-15 00:00:00","34546.6"
"311","DG336041","2005-02-15 00:00:00","49055.4"
"347","DG700707","2004-01-18 00:00:00","23889.32"
"128","DI925118","2003-01-28 00:00:00","11432.34"
"321","DJ15149","2003-11-03 00:00:00","95678.88"
"141","DL460618","2005-05-19 00:00:00","22353.86"
"129","DM826140","2004-12-08 00:00:00","30348.72"
"386","DO106109","2003-11-18 00:00:00","44669.74"
"398","DO787644","2004-06-21 00:00:00","25928.75"
